train_logloss,train_auc,train_accuracy,test_logloss,test_auc,test_accuracy
0.6045059234310032,0.6400530502268179,0.7707379994471915,0.5811684488105748,0.7055975210459966,0.7775320926233033
0.5687048282357678,0.7404123840372715,0.7756825650317865,0.5558980982055101,0.7611982517097226,0.7771635648915914
0.5475499908905019,0.7804382247863999,0.7770645864684745,0.5377758960067678,0.7904135827676774,0.7796204164363368
0.5314407784957617,0.8033678100219203,0.7800436104542244,0.5232941010512523,0.8083634483296501,0.7841655917941158
0.5182339895912796,0.8178366587297952,0.7843739442891803,0.5111364349560482,0.82048116665318,0.7884036607088016
0.5069799992699425,0.8277112356260284,0.7875372377998219,0.5006393885698817,0.8291643744559594,0.7920275167373011
0.49716527698338,0.835072645281276,0.790976935597801,0.4913933030648988,0.8357483772611861,0.7952214237454702
0.48846001580329085,0.8408126068722659,0.7939866711710328,0.48313870959389427,0.840883410165518,0.7979853817333088
0.4806555272498034,0.8453406013696985,0.7963821749946255,0.4757006115389584,0.845038495548668,0.8006264971439101
0.4735967961586533,0.8489588015282709,0.7987162556432542,0.4689441438041273,0.848507956401891,0.8022848719366132
